# original_frequency, f1, precision, recall
3.123000000000000081e-02,3.351749479770660400e-01,3.486590087413787842e-01,3.226950466632843018e-01
1.900000000000000105e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.239999999999999908e-03,2.553191483020782471e-01,3.870967626571655273e-01,1.904761940240859985e-01
3.534999999999999948e-03,2.000000029802322388e-01,2.500000000000000000e-01,1.666666716337203979e-01
4.927000000000000129e-02,3.678413927555084229e-01,4.073170721530914307e-01,3.353413641452789307e-01
7.474999999999999874e-03,4.090909063816070557e-01,4.354838728904724121e-01,3.857142925262451172e-01
4.306499999999999911e-02,4.073171019554138184e-01,4.249363839626312256e-01,3.911007046699523926e-01
1.000000000000000021e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.418999999999999949e-02,6.083916425704956055e-01,5.799999833106994629e-01,6.397058963775634766e-01
1.135500000000000051e-02,6.346864104270935059e-01,5.620915293693542480e-01,7.288135886192321777e-01
1.081099999999999978e-01,4.480969011783599854e-01,4.280991852283477783e-01,4.700544476509094238e-01
1.061499999999999944e-01,5.069788694381713867e-01,4.849267899990081787e-01,5.311321020126342773e-01
6.170000000000000137e-03,3.768115937709808350e-01,3.170731663703918457e-01,4.642857015132904053e-01
1.380499999999999956e-02,1.189189180731773376e-01,3.793103396892547607e-01,7.051282376050949097e-02
6.514999999999999958e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.819999999999999674e-03,4.255319014191627502e-02,1.000000014901161194e-01,2.702702768146991730e-02
2.741999999999999993e-02,3.368421196937561035e-01,4.188481569290161133e-01,2.816901504993438721e-01
2.447500000000000023e-02,6.443769335746765137e-01,5.535247921943664551e-01,7.709090709686279297e-01
2.132500000000000021e-02,6.177215576171875000e-01,6.256410479545593262e-01,6.100000143051147461e-01
3.000000000000000076e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.900000000000000296e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.295000000000000227e-03,3.499999940395355225e-01,6.363636255264282227e-01,2.413793057203292847e-01
1.018949999999999995e-01,4.485538303852081299e-01,4.646365344524383545e-01,4.335471987724304199e-01
